"ticker","company","price","date"
"GLD","NewGold Exchange Traded Fund","1,970.00","2020-10-17"
"HAFR","Home Afrika Limited","0.40","2020-10-17"
"HFCK","Housing Finance Company Limited","3.63","2020-10-17"
"I&M","I&M Holdings Plc","43.50","2020-10-17"
"ICDC","Centum Investment Company Limited","18.30","2020-10-17"
"JUB","Jubilee Holdings Limited","275.00","2020-10-17"
"KAPC","Kapchorua Tea Company Limited","75.00","2020-10-17"
"KCB","KCB Bank Kenya Limited","37.20","2020-10-17"
"KEGN","Kenya Electricity Generating Co. Ltd.","5.22","2020-10-17"
"KNRE","Kenya Re-Insurance Corporation Ltd","2.24","2020-10-17"
"KPLC","Kenya Power & Lighting Co. Limited","1.75","2020-10-17"
"KPLC-P4","Kenya Power Pref. Shares at 4%","5.00","2020-10-17"
"KPLC-P7","Kenya Power Pref. Shares at 7%","6.00","2020-10-17"
"KQ","Kenya Airways Limited","3.83","2020-10-17"
"KUKZ","Kakuzi Limited","380.00","2020-10-17"
"KURV","Kurwitu Ventures Limited","1,500.00","2020-10-17"
"LIMT","Limuru Tea Company Limited","400.00","2020-10-17"
"LKL","Longhorn Publishers Limited","4.54","2020-10-17"
"MSC","Mumias Sugar Company Limited","0.28","2020-10-17"
"NBK","National Bank of Kenya Limited","4.12","2020-10-17"
"NBV","Nairobi Business Ventures Ltd","0.71","2020-10-17"
"NIC","NIC Bank Limited","22.95","2020-10-17"
"NMG","Nation Media Group","15.95","2020-10-17"
"NSE","Nairobi Securities Exchange Limited","8.28","2020-10-17"
"OCH","Olympia Capital Holdings Limited","2.14","2020-10-17"
"ORCH","Kenya Orchards Limited","11.05","2020-10-17"
"PAFR","Sanlam Kenya Plc","12.70","2020-10-17"
"PORT","East African Portland Cement Co. Ltd","16.00","2020-10-17"
"SASN","Sasini Tea and Coffee Limited","19.00","2020-10-17"
"SCAN","ScanGroup Limited","6.88","2020-10-17"
"SCBK","Standard Chartered Bank Limited","157.75","2020-10-17"
"SCOM","Safaricom Limited","30.10","2020-10-17"
"SGL","Standard Group Limited","18.10","2020-10-17"
"TCL","Trans Century Limited","1.53","2020-10-17"
"TOTL","Total Kenya Limited","23.75","2020-10-17"
"TPSE","TPS Eastern Africa (Serena) Limited","15.00","2020-10-17"
"UCHM","Uchumi Supermarket Limited","0.28","2020-10-17"
"UMME","Umeme Limited","6.48","2020-10-17"
"UNGA","Unga Group Limited","30.65","2020-10-17"
"WTK","Williamson Tea Kenya Limited","140.00","2020-10-17"
"XPRS","Express Kenya Limited","4.50","2020-10-17"
"ABSA","Absa Bank Kenya Plc","9.62","2020-10-18"
"ARM","ARM Cement Limited","5.55","2020-10-18"
"BAMB","Bamburi Cement Limited","23.30","2020-10-18"
"BAT","British American Tobacco (Kenya) Ltd.","349.00","2020-10-18"
"BERG","Crown Paints Kenya Limited","42.45","2020-10-18"
"BKG","Bank of Kigali Group Limited","13.75","2020-10-18"
"BOC","BOC Kenya Limited","57.00","2020-10-18"
"BRIT","Britam Holdings Limited","7.50","2020-10-18"
"C&G","Car and General (Kenya) Limited","24.00","2020-10-18"
"CABL","East African Cables Limited","1.47","2020-10-18"
"CARB","Carbacid Investments Limited","8.78","2020-10-18"
"CFC","Stanbic Holdings Limited","77.00","2020-10-18"
